Identifier,"Start Date / Time","End Date / Time",Title,Subtitle,Type,Description,Permalink,"Building Name",Room,"Location Name",Cost,Tags,Sponsors
111755-21827541,"2023-09-20 11:30:00","2023-09-20 13:00:00","Intel Networking Event hosted by Michigan Materials Society",,"Careers / Jobs","Join Intel Recruiters for a professional networking event intended to discuss full-time, internship, and co-op opportunities. Resumes encouraged! Bagels and other breakfast food provided!

-Majors Recruited: Materials Science & Engineering, Chemical Engineering, Mechanical Engineering, Industrial and Operations Engineering, Engineering Physics, Chemistry, Physics
-Degrees Levels Recruited: Bachelors, Masters, Doctoral
-Positions available: Full-time positions, Internships, Co-ops
-Will the company be collecting resumes at this event?: Yes
-Is the company willing to sponsor students for work authorization?: On Occasion",https://events.umich.edu/event/111755,"Chrysler Center",133,"Chrysler Center",,Career,"Engineering Career Resource Center
Michigan Materials Society"
112449-21828933,"2023-09-20 12:00:00","2023-09-20 12:45:00","Microlearning: Acing Your Interview","Presenter: Sarah Button","Workshop / Seminar","Course registration and details are available on the Organizational Learning website.",https://events.umich.edu/event/112449,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
112549-21829104,"2023-09-20 17:00:00","2023-09-20 18:00:00","FGE x Humane Info Session and Career Workshop",,"Careers / Jobs","Humane believes in building innovative technology that feels familiar, natural, and human. Technology that improves the human experience and is born from good intentions. Products that put us back in touch with ourselves, each other, and the world around us. Experiences that are built on trust with interactions that feel magical, and bring joy. Humane was founded on the principle that we all deserve more from technology.

Join us for an insider look on humane and resume / interview tips from experts!

-Majors Recruited: All
-Degrees Levels Recruited: Bachelors, Masters
-Positions available: Full-time, Internship
-Will the company be collecting resumes at this event?: Yes
-Is the company willing to sponsor students for work authorization?: No",https://events.umich.edu/event/112549,"Pierpont Commons","Southeast Conference Room","Pierpont Commons",,Career,"Engineering Career Resource Center
First Generation Engineers"
112083-21828411,"2023-09-20 17:30:00","2023-09-20 19:00:00","Intel - Corporate Information Session",,"Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

Majors: Chemical Engineering, Computer Engineering, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering

Positions: Full-time, Intern
Degrees: Bachelors, Masters, PhD
US Citizenship or Permanent Resident
Resumes collected: No

Information session with SWE to share opportunities at Intel and share process to apply. We do not connect resumes, but can review and discuss in our session. 

At Intel, we innovate, we inspire, and we lead by bringing people together from across the globe, united in pushing the boundaries of technology.

To us, those boundaries are opportunities.
Opportunities to show what we’re capable of.
Opportunities to develop life-altering breakthroughs.
Opportunities for us to shine, to keep learning, and to further our careers.

It’s these opportunities that attract people like us. Because people like us believe our work can change the world.

From the challenging and rewarding work, to the supportive benefits and programs, to the inclusive, welcoming environment, Intel is committed to helping every one of us learn, grow and thrive at work and beyond. Because that's how we solve the most complex problems to improve the lives of every single person on the planet.​

That’s what drives us.
That’s what sets us apart.
That’s what makes us Intel.

Email swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112083,"Electrical Engineering and Computer Science Building",1200,"Electrical Engineering and Computer Science Building",,Career,"Society of Women Engineers"
112412-21828892,"2023-09-20 17:30:00","2023-09-20 18:30:00","Roblox - Corporate Information Session","Hosted with GEECS","Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

RSVP HERE: https://www.gem.com/form?formID=56539510-fb19-4e0f-8f66-c970a11199e2

Majors: Computer Science (all engineering majors welcome to attend)

Reach out to swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112412,BBB,1670,BBB,,Career,"Society of Women Engineers"
112452-21828952,"2023-09-21 10:00:00","2023-09-21 11:00:00","Business Administration 101: Introduction to Procurement","Presenter: Varied","Workshop / Seminar","Course registration and details are available on the Organizational Learning website.",https://events.umich.edu/event/112452,"Off Campus Location",,Virtual,,Career,"Organizational Learning"
111023-21826009,"2023-09-21 12:00:00","2023-09-21 13:00:00","Oral Health Sciences Seminar Series","Postdocs Appreciation - Special Presentations","Workshop / Seminar","1. Yvonne Xinyi Lim, BSc, MSc, PhD 
Postdoctoral Research Fellow
Department of Periodontics and Oral Medicine
University of Michigan School of Dentistry
Seminar Title: ""HPV+ oropharyngeal cancer: A Tale of Two Diseases""
Mentor: Dr. Nisha D’Silva

2. Dr. Lena Batoon, Ph.D. 
Postdoctoral Research Fellow
Department of Periodontics and Oral Medicine
University of Michigan School of Dentistry
Seminar Title: Macrophage efferocytosis promotes bone formation by increasing osteoprogenitors
Mentors: Provost Laurie McCauley and Dr. Hernan Roca

3. Karin Harumi Uchima Koecklin
DDS, Ph.D.
University of Michigan School of Dentistry
Seminar Title: NEURAL PATHWAYS MEDIATING THE COORDINATION OF JAW MOVEMENTS
Mentor: Dr. Peng Li",https://events.umich.edu/event/111023,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
110461-21824946,"2023-09-21 17:00:00","2023-09-21 17:45:00","Technical Interview Preparation Workshop presented by MathWorks",,"Careers / Jobs","MathWorks Presents: Technical Interview Preparation Workshop, hosted by the Engineering Career Resource Center (ECRC)    

MathWorks Engineering Development Group (EDG) Manager, Elizabeth Reese, will provide tips, examples, and a framework to help all engineering students prepare for technical interviews. Join this interactive session to learn what interviewers are looking for and how you can prepare.

The presentation will also touch on full time and internship opportunities for employment at MathWorks in the Engineering Development Group.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS

Register in Engineering Careers, by 12twenty.

This is a College of Engineering event.",https://events.umich.edu/event/110461,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
112085-21828412,"2023-09-21 17:30:00","2023-09-21 19:00:00","Warner Bros. Discovery - Corporate Information Session",,"Careers / Jobs","Come network with recruiters and learn more about professional development in a casual environment! Anyone is welcome to attend.

Majors: Computer Engineering, Computer Science, Data Science

Positions: Intern, Co-op
Degrees: Bachelors, Masters
US Citizenship or Permanent Resident
Resumes collected: Yes

Warner Bros. Discovery is a leading global media and entertainment company that creates and distributes the world’s most differentiated and complete portfolio of content and brands across television, film and streaming. 

Email swe.car.pub@umich.edu with any questions!",https://events.umich.edu/event/112085,"Electrical Engineering and Computer Science Building",1003,"Electrical Engineering and Computer Science Building",,Career,"Society of Women Engineers"
111190-21826181,"2023-09-21 18:00:00","2023-09-21 19:30:00","DESIGNING A DREAM: THE ARCHITECTURE OF THE “BLUE DREAM” HOUSE BY DS+R",,"Lecture / Discussion","As the brainchild of collectors Julie Reyes Taubman and Robert Taubman, Blue Dream is an extraordinary house designed by Diller Scofidio + Renfro (DS+R) that sought to renew the legacy of modernist architecture and art in the Hamptons. In advance of the launch of the eponymous book published by DelMonico Books, architecture critic Paul Goldberger will discuss the complex design process behind Blue Dream with DS+R partner Charles Renfro and Associate Principal Holly Deichmann. The panel discussion will offer insights into how Blue Dream reinterprets organic architecture for the 21st century, and stands as a striking addition to the roster of architecturally ambitious modernist houses on Long Island.

Paul Goldberger is a Contributing Editor at Vanity Fair. From 1997 through 2011, he served as the Architecture Critic for The New Yorker, where he wrote the magazine’s celebrated “Sky Line” column. He is the author of numerous books, including BALLPARK: Baseball in the American City, Building Art: The Life and Work of Frank Gehry, Building with History, Why Architecture Matters, Building Up and Tearing Down, Christo and Jeanne-Claude, and DUMBO: The Making of a Neighborhood and the Rebirth of Brooklyn. He also holds the Joseph Urban Chair in Design and Architecture at The New School in New York City and was formerly Dean of the Parsons School of Design at The New School.

He began his career at The New York Times, where in 1984 his architecture criticism was awarded the Pulitzer Prize for Distinguished Criticism. In 2012 he received the Vincent Scully Prize from the National Building Museum in recognition of the influence his writing has had on the public’s understanding of architecture. In 2017, he received the Award in Architecture of the American Academy of Arts and Letters, which called him “the doyen of American architectural critics.”

Charles Renfro joined Diller Scofidio + Renfro (DS+R) in 1997 and became a Partner in 2004. He was the Partner-in-Charge of Blue Dream, leading the complex design process. He led the design and construction of the studio’s first concert hall outside of the US – The Tianjin Juilliard School in China – as well as the studio’s first public park outside of the US – Zaryadye Park in Moscow. Charles has also led the design of much of DS+R’s academic portfolio, with projects completed at Stanford University, UC Berkeley, Brown University, the University of Chicago, and the recently completed Columbia Business School. Charles is also leading the design of two projects in his native Texas: the renovation of Frank Lloyd Wright’s Kalita Humphreys Theater in Dallas, and Sarofim Hall, a new home for Rice University’s Visual Arts department in Houston. Charles is a board member of BOFFO, a nonprofit organization that supports the work of queer LGBTQ+ BIPOC artists and designers. He has twice been recognized with the “Out100” list, and also distinguished as a notable LGBTQ leader by Crain’s New York Business. He is a faculty member of the School of Visual Arts.

Holly Deichmann is an Associate Principal at Diller Scofidio + Renfro (DS+R). She was the Project Director for Blue Dream, overseeing the complex design process alongside Partner-in-Charge Charles Renfro. She was also the Project Architect of the United States Olympic & Paralympic Museum in Colorado Springs, Colorado, and the Project Director for the adjoining Park Union Bridge, a curved steel structure connecting the museum campus to the adjacent America the Beautiful Park. Holly was also the Project Director for the recently-completed Susan Wakil Health Building at the University of Sydney in Australia. She is currently the Project Director for the New Museum of Transport in Budapest, a new home for the museum located on the brownfield site of a former train repair facility.",https://events.umich.edu/event/111190,"Walgreen Drama Center","STAMPS Auditorium","Walgreen Drama Center",,career,"A. Alfred Taubman College of Architecture + Urban Planning"
109374-21821941,"2023-09-22 10:30:00","2023-09-22 12:00:00","U.S. Job Search for International Students",,"Careers / Jobs","International students have a lot to offer employers, including cross-cultural skills, diversity, a global perspective, and language skills. However, conducting a job search in the U.S. can be quite challenging. This workshop is designed to give international students the knowledge and resources needed to conduct an effective job search.

Join the ECRC and the International Center and learn the possible differences between your home country and the U.S. with respect to resume writing and interviewing. You will also hear tips on how to find companies who are open to sponsoring visas. Finally, the International Center will provide information regarding various visas available to international students, as well as guidance on how to answer questions related to work authorization.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event:
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109374,"Off Campus Location",,Virtual,,Career,"Engineering Career Resource Center"
112245-21828646,"2023-09-22 12:00:00","2023-09-22 15:00:00","Alum in Residence: Being undecided *about your career* with Ilana Black LSA ‘12",,"Workshop / Seminar","Are you unsure what you may want to do with your major after you graduate, or you haven’t declared one yet? Join us for an Alum in Residence to talk with Ilana Black about creating your career through experiences that bring you joy. Ilana graduated from LSA in 2012 with a major in Communications and Media, and started her career in transportation logistics, then advertising technology, creative staffing and recruitment consulting. Nowadays she is a Lead Recruiter at Robinhood, where she hires niche financial services professionals across the globe. Originally from San Francisco, she moved to Chicago after graduation and then made her way to Los Angeles where she’s based now. 

Make an appointment or drop by the Opportunity Hub to meet with Ilana on Friday, September 22 between 12 and 3pm. You can talk about anything with her, from learning more about her story to getting advice for your next steps, where or how to start looking for jobs/internships or even have her look at your cover letter and résumé. Ilana will bring her signature kindness and curiosity to your conversation–so bring a friend and join us for this Alum in Residence opportunity! 

More about Ilana:
> Graduated LSA 2012 with a BA Communication Studies, minor in Women, Gender & Ethnicity from Women’s and Gender Studies
> On campus involvement: Greek Life (Alpha Chi Omega), worked in Admissions as a Campus Day Leader, worked in philanthropy doing Philanthropic Campus Tours & co-created ForeverGoBlue, studied Abroad in London, and was featured as a Michigan SuperFan via the Michigan Daily
> Served as the youngest President of the Michigan Alumni Association in Chicago, and currently an Alumni Student Recruiter 
> As an LSA student, held internships at Fox Broadcasting doing Talent Relations, as well as at a non-profit in San Francisco doing fundraising and event planning.
> Two of her professional opportunities were obtained directly from Michigan connections
> Was undecided until her third year at LSA
 
You should attend this opportunity if you are:
> An undergraduate U-M LSA student 
> Interested in several career paths but haven’t decided on one yet
> Thinking about working in the corporate or start-up world after graduation
> Need help on how to present yourself to companies, or how to network

What you’ll gain by attending:
> Make a valuable connection with a successful LSA alum ready to help you navigate the early career building process
> Get ideas for how to build and grow in a non-traditional career path
> Gain tips and tricks for building communities and networks past your LSA degree

RSVP now to meet with Ilana.",https://events.umich.edu/event/112245,"LSA Building","LSA 1247","LSA Building",,Career,"LSA Opportunity Hub"
111462-21827150,"2023-09-22 13:00:00","2023-09-22 14:15:00","+Tech Literacy Download: Insights into the World of Consulting in Tech at McKinsey","McKinsey Panel",Presentation,"Step into the dynamic world of tech consulting, where innovation meets problem-solving. Join us for an exclusive session featuring McKinsey consultants, ranging from analysts to partners, as they unveil the core of their ""McKinsey Problem-Solving"" approach, seamlessly weaving design thinking into the tech tapestry. 

This event offers you a front-row seat to the strategic minds reshaping the tech landscape, sharing real-world stories and insights that transcend conventional consulting boundaries. Embrace the opportunity to harness their wisdom and elevate your tech consulting journey. 

*** Please note that this event is not affiliated with McKinsey recruiting. 

Session Categories: Tech Consulting, Design Thinking

~~Lunch Provided~~",https://events.umich.edu/event/111462,"Ross School of Business",R0220,"Ross School of Business",,Career,"Business+Tech at Michigan Ross"
111899-21827749,"2023-09-25 16:00:00","2023-09-25 17:30:00","Chevron Info Session hosted by Michigan Materials Society",,"Careers / Jobs","Come join Chevron to learn about internship and full-time opportunities.

-Majors Recruited: Materials Science & Engineering, Mechanical Engineering
-Degrees Levels Recruited: Bachelors, Masters
-Positions available: Full Time, Internship
-Will the company be collecting resumes at this event?: Yes
-Is the company willing to sponsor students for work authorization?: No",https://events.umich.edu/event/111899,"Francois-Xavier Bagnoud Building",1109,"Francois-Xavier Bagnoud Building",,Career,"Engineering Career Resource Center
Michigan Materials Society"
111463-21827151,"2023-09-25 17:30:00","2023-09-25 20:00:00","+Tech Literacy Download: Business Meets Tech in Aerospace","Leaders from GE Aviation, Northrop Grumman, Blue Origin, and More","Conference / Symposium","Embark on a high-flying journey into the dynamic intersection of aerospace and technology. Join the Ross Career Development Office and the Ross Armed Forces Association, as they present a panel of industry experts who have successfully charted a path in aerospace. They’ll unravel the ways technology is reshaping the aerospace industry, fostering innovation and transforming business landscapes.

From next-gen aircraft design to advanced manufacturing processes, this session is your gateway to understanding the symbiotic relationship between technology and aerospace. Whether you're a business enthusiast or a tech devotee, don't miss this opportunity to witness the digital transformation that's taking flight in the aerospace realm.

**A social networking hour with some of the largest employers in the world to follow the panel.  

Session Categories: Emerging Tech, Tech Careers 

<<Dinner Provided>>",https://events.umich.edu/event/111463,"Jeff T. Blau Hall","Blau Colloquium (5th Floor)","Jeff T. Blau Hall",,Career,"Business+Tech at Michigan Ross"
109826-21823051,"2023-09-26 11:00:00","2023-09-26 14:00:00","Materials Engineering Career Fair",,"Careers / Jobs","The Materials Engineering Career Fair will be held on Tuesday, September 26, 2023 from 11:00 AM-2:00 PM ET. This event is intended to help connect students studying Materials Science and Engineering with organizations seeking to recruit these students for full-time, internship and/or co-op positions.

Please note there is no student registration for this fair.

Please let us know how we can ensure that our events are inclusive to you. Please fill out the form below to let us know what accommodations or access needs we can help facilitate at least one week prior to the event.
https://umich.qualtrics.com/jfe/form/SV_6QJUbw52V39OVqS",https://events.umich.edu/event/109826,"Duderstadt Center",,"Duderstadt Center",,Career,"Engineering Career Resource Center
Materials Science and Engineering"
109722-21822737,"2023-09-26 18:00:00","2023-09-26 19:00:00","Writing Personal and Academic Statements","Graduate School Application Statements","Workshop / Seminar","Bioscience postdocs and grad students will cover what to include/avoid and how to frame your story while writing statements for research-based grad programs. There will be a chance for workshopping statement drafts in small groups. This event is hybrid.

RSVP: https://linktr.ee/FIRST_Org",https://events.umich.edu/event/109722,"Biological Sciences Building",1010,"Biological Sciences Building",,Career,"Futures in Research, Science, Teaching - FIRST"
108872-21820500,"2023-09-26 19:00:00","2023-09-26 20:00:00","PNC Bank Presents Budgeting: Creating a Plan","Audi Buraczewski/Jake Barth","Livestream / Virtual","Learn skills that will help you manage money and improve your overall understanding of how to achieve and maintain financial health.",https://events.umich.edu/event/108872,"Off Campus Location",,Virtual,,Career,"MCard - Treasurer's Office"
112448-21828932,"2023-09-27 13:00:00","2023-09-27 14:00:00","PNC Bank Presents: Find Your Way Through Adversity and Achieve Your Greatest Potential","Maggie Cook/Diana Bellini/Jeffrey Martinez/Steven González","Livestream / Virtual","Join PNC Diversity & Inclusion for a special Hispanic Heritage Month event featuring Magie Cook. From growing up in a Mexican orphanage to creating the wildly successful Maggie's All Natural Fresh Salsa's & Dips starting with an $800 investment, her story shows how anyone can find their way through adversity to achieve their greatest potential.",https://events.umich.edu/event/112448,"Off Campus Location",,Virtual,,Career,"MCard - Treasurer's Office"
111633-21827346,"2023-09-27 14:00:00","2023-09-27 16:00:00","CoE Portrait Sessions",,"Careers / Jobs","Do you need a professional looking headshot for networking and communications? The ECRC is offering free portrait style photograph sessions by Michigan Photography to College of Engineering students on September 27, 2023. Registration is limited, so register soon to secure your spot!

REGISTRATION WILL OPEN ON SEPTEMBER 5th, at 8:00 AM IN ENGINEERING CAREERS, BY 12TWENTY. Once open, click on a preferred time to select a time. Spots are limited and will be available on a first-to-sign up basis. 

How it works:
* Register for a 10-minute time period through Engineering Careers, by 12twenty
* Dress professionally! These photographs are ideal for LinkedIn and email account images, and it is important to represent yourself appropriately.
* Arrive 10 minutes prior to your appointment period
* Photographs are taken on a first-come, first-served basis within each appointment period
* You will have electronic access to your photo(s) within 2 weeks following the event

Registration notes:
* By registering for this event, you are confirming that you will attend the event and agree to notify the ECRC at least 24 hours in advance if you can no longer keep this commitment.
* Please note, by not showing up for an event that you have registered for, you are preventing another student from attending and you will be held to our no show policy.",https://events.umich.edu/event/111633,"Electrical Engineering and Computer Science Building","Lurie Nanofabrication Hallway","Electrical Engineering and Computer Science Building",,Career,"Engineering Career Resource Center"
112384-21828856,"2023-09-27 18:30:00","2023-09-27 20:30:00","MDP Project Fair",,"Fair / Festival","The Multidisciplinary Design Program offers a variety of multiple-semester project experiences where first-year undergraduate through professional master’s students earn course credit while gaining real-world experience. Recruitment occurs every fall with a common application due October 8 for Faculty Research and Industry Sponsored Teams. 33 teams, 1 common application!

Attend either or both occurrences of our MDP Project Fair in the Duderstadt Center for an opportunity to meet with Industry Sponsor mentors and Faculty, and learn more about all of the projects and teams recruiting for 2024 projects.

– Attire is casual
– Check out 2024 MDP project options on our website in advance
– Bring copies of your resume!
– Students may attend either/both Project Fair events

 This event also takes place September 27 in the evening and September 28 during the day. Same event, same projects represented, different date and time.",https://events.umich.edu/event/112384,"Duderstadt Center",Atrium,"Duderstadt Center",,Career,"Multidisciplinary Design Program"
112384-21828857,"2023-09-28 12:00:00","2023-09-28 15:00:00","MDP Project Fair",,"Fair / Festival","The Multidisciplinary Design Program offers a variety of multiple-semester project experiences where first-year undergraduate through professional master’s students earn course credit while gaining real-world experience. Recruitment occurs every fall with a common application due October 8 for Faculty Research and Industry Sponsored Teams. 33 teams, 1 common application!

Attend either or both occurrences of our MDP Project Fair in the Duderstadt Center for an opportunity to meet with Industry Sponsor mentors and Faculty, and learn more about all of the projects and teams recruiting for 2024 projects.

– Attire is casual
– Check out 2024 MDP project options on our website in advance
– Bring copies of your resume!
– Students may attend either/both Project Fair events

 This event also takes place September 27 in the evening and September 28 during the day. Same event, same projects represented, different date and time.",https://events.umich.edu/event/112384,"Duderstadt Center",Atrium,"Duderstadt Center",,Career,"Multidisciplinary Design Program"
110354-21824809,"2023-09-28 12:00:00","2023-09-28 13:00:00","Oral Health Sciences Seminar Series","Ormond MacDougald, Ph.D.","Workshop / Seminar","Seminar Title: ""Insights from an adipo-centric investigator: bone marrow adiposity, cool adaptation, and more...""

Ormond MacDougald, Ph.D.
John A. Faulkner Collegiate Professor of Molecular & Integrative Physiology
Professor, Internal Medicine
Michigan Medicine, Medical School",https://events.umich.edu/event/110354,"Dental & W.K. Kellogg Institute","DENT G550","Dental & W.K. Kellogg Institute",,Career,"Office of Research School of Dentistry"
